184 252 252 252 252 252 252 251 251 250 249 248 246 244 241 237 233 229 227 225 224 223 222 217 175 124 79 80 82 78 63 57 55 55 58 56 55 60 78 97 109 115 120 123 126 129 131 133 131 122 104 84 68 60 58 54 50 48 48 49 51 52 55 56 55 53 54 55 55 55 60 72 88 105 121 133 144 153 160 164 166 167 170 174 175 174 172 170 170 171 177 179 178 176 174 175 175 177 174 169 160 150 132 110 87 77 72 71 69 68 73 78 89 95 100 99 98 101 104 109 113 119 123 126 134 151 172 190 200 206 210 212 216 219 221 224 226 228 229 230 230 230 231 233 236 239 242 244 245 245 244 244 246 248 250 250 251 253 253 254 254 254 254 254 254 254 254 254 254 254 254 254 254 254 254 254 254 254 254 254 254 254 254 254 254 254 254 254 254 254 254 254 254 254 254 251 230 196 160 96
7 11 10 10 9 7 7 7 7 8 9 9 8 8 8 9 8 8 8 8 8 9 10 0 14 18 17 8 8 7 11 9 7 4 6 7 9 12 14 14 15 15 12 10 6 0 14 35 60 80 89 87 79 65 49 31 20 10 4 0 1 1 3 5 8 9 9 4 7 23 41 58 69 76 77 75 64 51 36 23 10 6 19 30 33 35 34 29 25 22 26 26 24 17 10 0 18 35 56 64 70 72 78 78 71 56 39 18 3 19 23 18 13 11 6 3 5 1 9 14 16 13 12 18 33 46 45 32 15 4 0 2 3 4 4 3 2 1 0 1 2 4 3 1 0 1 0 2 1 1 2 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 7 9 4
24 36 35 34 33 31 29 27 26 25 24 22 20 18 16 13 10 8 7 7 6 7 7 7 4 5 6 4 3 0 6 8 10 7 7 0 0 5 12 15 14 13 10 3 12 41 70 90 90 82 67 48 32 24 18 11 4 0 0 0 2 6 10 10 3 12 27 43 56 64 63 54 35 13 10 27 47 57 64 66 71 77 82 87 88 85 81 78 79 79 82 82 81 77 74 72 71 71 65 53 37 18 8 37 61 70 72 67 58 35 10 12 27 35 31 16 5 5 8 10 10 13 14 14 15 25 40 48 37 19 4 0 1 2 2 1 0 0 1 0 0 1 0 0 0 0 1 2 2 0 2 3 1 0 1 2 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 8 10 5 1
36 55 56 57 56 56 53 50 48 44 42 37 34 31 28 24 22 19 17 15 15 15 14 12 0 4 5 3 3 1 0 5 9 13 11 5 1 4 11 19 15 10 2 30 67 96 97 76 51 35 27 24 17 12 4 3 1 4 5 4 3 1 6 21 38 47 53 51 41 19 10 39 62 74 80 82 80 78 80 79 81 76 76 73 72 71 74 73 69 64 67 71 71 73 75 77 80 83 91 93 93 87 83 70 54 28 1 29 54 69 61 36 7 20 36 42 40 29 24 16 10 8 8 12 13 14 18 31 43 39 22 5 0 1 0 1 1 0 0 1 3 2 0 1 1 0 0 0 0 1 0 2 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 4 1 2
40 62 64 68 70 72 71 70 67 63 58 54 49 44 40 35 31 27 23 20 18 16 15 13 2 3 5 1 3 3 4 1 4 11 7 11 7 13 13 14 5 13 49 85 100 79 49 27 22 21 18 14 10 6 5 6 8 9 9 5 6 19 39 46 42 16 5 28 43 56 64 69 68 64 59 55 48 47 47 47 41 33 25 21 19 19 21 21 17 15 16 20 23 27 32 38 43 49 52 60 67 78 85 89 86 83 82 74 51 12 19 38 42 34 15 13 35 40 39 33 29 21 12 7 8 12 13 14 26 39 38 21 6 1 1 0 1 2 1 1 1 2 2 2 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 5 5
80 119 117 115 112 108 104 101 94 86 76 67 59 52 48 43 38 34 31 28 24 19 17 15 6 3 8 1 3 4 1 1 0 2 2 14 25 28 18 1 29 68 96 89 52 17 3 5 8 7 5 4 4 2 4 5 6 0 7 14 25 25 18 8 32 50 59 62 60 53 43 36 29 24 20 16 12 9 4 4 20 35 45 49 51 54 55 55 57 58 56 52 44 37 30 22 15 2 8 16 19 26 31 38 41 51 59 72 79 77 66 45 18 14 32 30 16 2 19 33 38 31 24 14 9 5 8 10 14 24 38 39 26 9 1 0 0 1 2 0 1 0 1 1 0 0 0 0 0 0 0 1 2 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 4 2
80 119 116 114 113 113 115 118 123 126 128 128 125 119 112 103 90 74 59 47 39 33 29 23 11 0 7 2 0 0 4 5 4 3 3 10 23 25 7 40 82 100 74 32 1 8 8 3 0 1 1 1 0 0 2 3 12 26 35 28 8 15 38 50 55 43 34 26 21 15 11 7 3 1 9 19 30 36 40 41 44 46 46 45 44 45 46 48 48 49 51 55 61 69 71 72 70 60 47 37 30 19 5 6 14 18 16 15 26 41 54 52 52 42 28 6 14 19 13 6 27 39 40 34 25 15 7 5 9 13 26 40 43 28 9 0 1 0 1 1 1 0 0 1 1 0 0 0 0 1 1 1 1 2 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 5 7
21 34 37 41 45 51 58 65 75 84 97 109 119 127 133 140 145 147 146 140 133 124 113 95 66 32 6 2 1 1 3 5 3 0 2 0 2 8 43 80 88 55 16 7 11 8 3 1 0 2 4 6 5 2 7 15 22 16 2 16 33 40 39 25 17 8 6 4 3 1 8 15 24 29 31 28 24 23 21 18 12 6 7 9 8 3 2 3 3 3 6 10 12 15 18 22 28 37 46 52 56 54 50 43 30 13 1 10 13 16 14 15 19 29 37 40 31 15 7 17 7 15 38 48 45 38 25 14 6 7 11 24 39 43 31 12 2 0 0 1 1 1 1 1 1 0 0 0 1 1 1 1 1 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 17 23
1 1 0 0 1 3 5 6 7 10 15 22 30 40 51 66 83 103 121 136 145 150 152 150 130 80 30 3 4 3 1 1 0 2 1 4 16 44 64 56 26 0 11 11 7 2 0 1 6 10 12 11 13 15 18 12 2 24 38 38 28 16 8 4 2 4 5 4 4 13 16 15 12 10 6 1 2 2 1 4 9 13 15 18 21 24 22 20 18 20 19 20 22 22 22 22 21 7 7 20 23 27 31 37 40 41 35 22 7 6 13 16 14 11 12 19 28 32 25 8 9 11 7 31 48 51 43 34 22 12 4 6 19 37 47 37 17 3 1 1 0 2 2 1 0 0 1 2 3 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 5 13 17
2 3 4 5 5 5 4 3 1 0 1 3 4 5 5 5 5 8 14 23 34 46 59 72 77 52 23 2 2 2 2 0 0 3 6 17 31 46 31 8 16 14 9 3 0 0 2 6 10 12 16 21 25 21 7 10 23 24 18 10 4 3 4 6 4 0 3 3 0 0 1 0 4 6 7 6 6 8 14 22 31 38 48 53 55 52 52 54 58 63 67 67 65 62 56 49 43 34 26 18 17 12 8 2 1 8 16 24 25 19 6 4 14 18 16 8 4 8 18 25 22 10 2 3 12 34 54 58 49 32 16 8 7 19 38 49 39 19 5 1 0 1 1 0 0 1 2 3 3 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4 10 12
